factor_name,organization,factor_year,gender,age,factor_value,event
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,5,0.5990,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,6,0.6502,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,7,0.6978,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,8,0.7418,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,9,0.7822,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,10,0.8190,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,11,0.8522,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,12,0.8818,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,13,0.9078,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,14,0.9302,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,15,0.9490,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,16,0.9660,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,17,0.9830,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,18,0.9958,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,19,1.0000,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,20,1.0000,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,21,1.0000,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,22,1.0000,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,23,1.0000,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,24,1.0000,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,25,1.0000,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,26,1.0000,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,27,1.0000,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,28,1.0000,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,29,1.0000,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,30,0.9977,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,31,0.9913,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,32,0.9844,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,33,0.9774,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,34,0.9705,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,35,0.9636,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,36,0.9566,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,37,0.9497,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,38,0.9427,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,39,0.9358,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,40,0.9289,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,41,0.9219,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,42,0.9150,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,43,0.9080,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,44,0.9011,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,45,0.8942,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,46,0.8872,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,47,0.8803,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,48,0.8733,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,49,0.8664,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,50,0.8595,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,51,0.8525,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,52,0.8456,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,53,0.8386,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,54,0.8317,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,55,0.8248,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,56,0.8178,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,57,0.8109,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,58,0.8039,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,59,0.7970,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,60,0.7901,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,61,0.7831,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,62,0.7762,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,63,0.7692,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,64,0.7623,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,65,0.7554,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,66,0.7484,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,67,0.7415,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,68,0.7345,1MileRoad
MLDR_25_M_facs,Masters Long Distance Running,2025,Male,69,0.7274,1MileRoad
