gender,event_name,factor_type,age,factor_value
Male,60m,T2,30,1.0
Male,60m,T2,31,1.0
Male,60m,T2,32,1.0
Male,60m,T2,33,1.0
Male,60m,T2,34,1.0
Male,60m,T2,35,0.9991
Male,60m,T2,36,0.9946
Male,60m,T2,37,0.9901
Male,60m,T2,38,0.9855
Male,60m,T2,39,0.9809
Male,60m,T2,40,0.9763
Male,60m,T2,41,0.9716
Male,60m,T2,42,0.9669
Male,60m,T2,43,0.9622
Male,60m,T2,44,0.9574
Male,60m,T2,45,0.9526
Male,60m,T2,46,0.9478
Male,60m,T2,47,0.9429
Male,60m,T2,48,0.938
Male,60m,T2,49,0.9331
Male,60m,T2,50,0.9281
Male,60m,T2,51,0.9232
Male,60m,T2,52,0.9181
Male,60m,T2,53,0.9131
Male,60m,T2,54,0.908
Male,60m,T2,55,0.9029
Male,60m,T2,56,0.8978
Male,60m,T2,57,0.8926
Male,60m,T2,58,0.8874
Male,60m,T2,59,0.8822
Male,60m,T2,60,0.8769
Male,60m,T2,61,0.8716
Male,60m,T2,62,0.8663
Male,60m,T2,63,0.861
Male,60m,T2,64,0.8556
Male,60m,T2,65,0.8502
Male,60m,T2,66,0.8448
Male,60m,T2,67,0.8393
Male,60m,T2,68,0.8338
Male,60m,T2,69,0.8283
Male,60m,T2,70,0.8228
Male,60m,T2,71,0.8172
Male,60m,T2,72,0.8116
Male,60m,T2,73,0.806
Male,60m,T2,74,0.8003
Male,60m,T2,75,0.7946
Male,60m,T2,76,0.7889
Male,60m,T2,77,0.7832
Male,60m,T2,78,0.7774
Male,60m,T2,79,0.7716
Male,60m,T2,80,0.7658
Male,60m,T2,81,0.7593
Male,60m,T2,82,0.7521
Male,60m,T2,83,0.7442
Male,60m,T2,84,0.7357
Male,60m,T2,85,0.7264
Male,60m,T2,86,0.7164
Male,60m,T2,87,0.7058
Male,60m,T2,88,0.6944
Male,60m,T2,89,0.6824
Male,60m,T2,90,0.6696
Male,60m,T2,91,0.6562
Male,60m,T2,92,0.6421
Male,60m,T2,93,0.6273
Male,60m,T2,94,0.6118
Male,60m,T2,95,0.5956
Male,60m,T2,96,0.5787
Male,60m,T2,97,0.5612
Male,60m,T2,98,0.5429
Male,60m,T2,99,0.5239
Male,60m,T2,100,0.5043
Male,60m,T2,101,0.484
Male,60m,T2,102,0.463
Male,60m,T2,103,0.4412
Male,60m,T2,104,0.4189
Male,60m,T2,105,0.3958
Male,60m,T2,106,0.372
Male,60m,T2,107,0.3475
Male,60m,T2,108,0.3224
Male,60m,T2,109,0.2965
Male,60m,T2,110,0.27
Male,100m,T2,30,1.0
Male,100m,T2,31,1.0
Male,100m,T2,32,1.0
Male,100m,T2,33,1.0
Male,100m,T2,34,1.0
Male,100m,T2,35,0.9999
Male,100m,T2,36,0.9932
Male,100m,T2,37,0.9866
Male,100m,T2,38,0.9799
Male,100m,T2,39,0.9733
Male,100m,T2,40,0.9668
Male,100m,T2,41,0.9602
Male,100m,T2,42,0.9537
Male,100m,T2,43,0.9473
Male,100m,T2,44,0.9409
Male,100m,T2,45,0.9345
Male,100m,T2,46,0.9281
Male,100m,T2,47,0.9218
Male,100m,T2,48,0.9155
Male,100m,T2,49,0.9093
Male,100m,T2,50,0.9031
Male,100m,T2,51,0.8969
Male,100m,T2,52,0.8908
Male,100m,T2,53,0.8847
Male,100m,T2,54,0.8786
Male,100m,T2,55,0.8726
Male,100m,T2,56,0.8666
Male,100m,T2,57,0.8606
Male,100m,T2,58,0.8546
Male,100m,T2,59,0.8487
Male,100m,T2,60,0.8429
Male,100m,T2,61,0.837
Male,100m,T2,62,0.8312
Male,100m,T2,63,0.8254
Male,100m,T2,64,0.8197
Male,100m,T2,65,0.8139
Male,100m,T2,66,0.8083
Male,100m,T2,67,0.8026
Male,100m,T2,68,0.797
Male,100m,T2,69,0.7914
Male,100m,T2,70,0.7858
Male,100m,T2,71,0.7803
Male,100m,T2,72,0.7748
Male,100m,T2,73,0.7693
Male,100m,T2,74,0.7638
